nohup: ignoring input
2024-06-28 04:58:59.029773: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-06-28 04:59:00.200368: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/chiara/DataAUG/Generation_GAN/main.py:62: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:78.)
  valid = Variable(Tensor(imgs.shape[0], 1).fill_(1.0), requires_grad=False)
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
netbios_ssn2
[Epoch 17/500] [Batch 3/7] [D loss: 0.001439] [G loss: 7.940054]
[Epoch 17/500] [Batch 4/7] [D loss: 0.001027] [G loss: 8.163757]
[Epoch 17/500] [Batch 5/7] [D loss: 0.001331] [G loss: 7.989872]
[Epoch 17/500] [Batch 6/7] [D loss: 0.001250] [G loss: 7.841698]
[Epoch 18/500] [Batch 0/7] [D loss: 0.001075] [G loss: 8.816300]
[Epoch 18/500] [Batch 1/7] [D loss: 0.001275] [G loss: 7.987001]
[Epoch 18/500] [Batch 2/7] [D loss: 0.001054] [G loss: 8.143283]
[Epoch 18/500] [Batch 3/7] [D loss: 0.001140] [G loss: 8.250986]
[Epoch 18/500] [Batch 4/7] [D loss: 0.000995] [G loss: 7.967984]
[Epoch 18/500] [Batch 5/7] [D loss: 0.001007] [G loss: 8.183247]
[Epoch 18/500] [Batch 6/7] [D loss: 0.000971] [G loss: 8.226426]
[Epoch 19/500] [Batch 0/7] [D loss: 0.000843] [G loss: 9.150043]
[Epoch 19/500] [Batch 1/7] [D loss: 0.001048] [G loss: 7.987415]
[Epoch 19/500] [Batch 2/7] [D loss: 0.001080] [G loss: 7.914269]
[Epoch 19/500] [Batch 3/7] [D loss: 0.001383] [G loss: 7.577748]
[Epoch 19/500] [Batch 4/7] [D loss: 0.001083] [G loss: 7.712359]
[Epoch 19/500] [Batch 5/7] [D loss: 0.001190] [G loss: 7.873660]
[Epoch 19/500] [Batch 6/7] [D loss: 0.000981] [G loss: 8.089552]
[Epoch 20/500] [Batch 0/7] [D loss: 0.000821] [G loss: 8.498053]
[Epoch 20/500] [Batch 1/7] [D loss: 0.001149] [G loss: 7.765145]
[Epoch 20/500] [Batch 2/7] [D loss: 0.001195] [G loss: 7.807896]
[Epoch 20/500] [Batch 3/7] [D loss: 0.001168] [G loss: 7.982012]
[Epoch 20/500] [Batch 4/7] [D loss: 0.000935] [G loss: 7.897907]
[Epoch 20/500] [Batch 5/7] [D loss: 0.000984] [G loss: 7.980171]
[Epoch 20/500] [Batch 6/7] [D loss: 0.000936] [G loss: 8.151081]
[Epoch 21/500] [Batch 0/7] [D loss: 0.000852] [G loss: 8.710999]
[Epoch 21/500] [Batch 1/7] [D loss: 0.000935] [G loss: 8.018944]
[Epoch 21/500] [Batch 2/7] [D loss: 0.001088] [G loss: 8.054596]
[Epoch 21/500] [Batch 3/7] [D loss: 0.000920] [G loss: 8.196119]
[Epoch 21/500] [Batch 4/7] [D loss: 0.000911] [G loss: 8.090715]
[Epoch 21/500] [Batch 5/7] [D loss: 0.000845] [G loss: 8.287154]
[Epoch 21/500] [Batch 6/7] [D loss: 0.001633] [G loss: 7.830613]
[Epoch 22/500] [Batch 0/7] [D loss: 0.000751] [G loss: 8.837022]
[Epoch 22/500] [Batch 1/7] [D loss: 0.000914] [G loss: 8.292612]
